NDC,MKTED_PROD_NM,GPI10_DESC,GPI,GPI_DESC,DOSAGE_FORM_CD,ROUTE_ADM_CD,USC_CD,USC_DESC,STRNT_DESC,TPTY_RECV_ADD_DT,OBSOLETE_DT,CMF_PROD_NBR,CMF_PPK_NBR,MKTDEF_NM,PROD_CUSTOM_LVL1_DESC,PROD_CUSTOM_LVL2_DESC,DISPLAY_ORDER_NBR
00591379730,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,11/09/2010,,1016462,1016462008,OTHER PPP TREATMENTS,2,ALBUTEROL,1
49502069203,ACCUNEB,ALBUTEROL SULFATE,44201010102555,Albuterol Sulfate Soln Nebu 0.63 MG/3ML (Base Equiv),NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.63 MG/3 ML,10/01/2001,08/31/2013,1002333,1002333001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
49502069303,ACCUNEB,ALBUTEROL SULFATE,44201010102560,Albuterol Sulfate Soln Nebu 1.25 MG/3ML (Base Equiv),NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",1.25 MG/3 ML,10/01/2001,08/31/2013,1002333,1002333002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
33261078901,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,01/09/2012,,,,OTHER PPP TREATMENTS,2,ALBUTEROL,1
54569389901,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010102515,Albuterol Sulfate Soln Nebu 0.083%,NEBU,IN,28112,"BETA AGONISTS, NEBULIZER SOLUTIONS",0.083%,05/05/2011,,1016529,1016529009,OTHER PPP TREATMENTS,2,ALBUTEROL,1
53217001730,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,07/09/2014,,1016582,1016582002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
33261066101,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,08/07/2014,,1016582,1016582003,OTHER PPP TREATMENTS,2,ALBUTEROL,1
00603100858,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,06/08/2007,01/05/2016,1016461,1016461006,OTHER PPP TREATMENTS,2,ALBUTEROL,1
66993023057,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010101205,Albuterol Sulfate Syrup 2 MG/5ML,SYRP,OR,28114,"BETA AGONISTS, ORAL LIQUIDS",2 MG/5 ML,07/08/2008,09/08/2009,1016574,1016574001,OTHER PPP TREATMENTS,2,ALBUTEROL,1
68788025503,ALBUTEROL SULFATE,ALBUTEROL SULFATE,44201010100305,Albuterol Sulfate Tab 2 MG,TABS,OR,28113,"BETA AGONISTS, ORAL SOLIDS",2 MG,05/15/2014,,1016581,1016581002,OTHER PPP TREATMENTS,2,ALBUTEROL,1
