PRODUCT_ID,NDC,MKTED_PROD_NM,GPI10_DESC,GPI,GPI_DESC,DOSAGE_FORM_CD,ROUTE_ADM_CD,USC_CD,USC_DESC,STRNT_DESC,TPTY_RECV_ADD_DT,OBSOLETE_DT,CMF_PROD_NBR,CMF_PPK_NBR,MKTDEF_NM,PROD_CUSTOM_LVL1_DESC,PROD_CUSTOM_LVL2_DESC,DISPLAY_ORDER_NBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099210,54569170904,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,18/10/1990,,1144764,1144764001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099207,54569170901,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,18/10/1990,,1144764,1144764001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241006,42549050390,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,02/06/2009,12/04/2014,1144802,1144802001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241005,42549050360,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,02/06/2009,12/04/2014,1144802,1144802001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224105,42549030390,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,20/06/2008,12/04/2014,1144802,1144802001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224104,42549030330,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,20/06/2008,12/04/2014,1144802,1144802001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241004,42549050340,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,02/06/2009,12/04/2014,1144802,1144802001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241003,42549050330,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,02/06/2009,12/04/2014,1144802,1144802001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241002,42549050328,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,02/06/2009,12/04/2014,1144802,1144802001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088840,52152013605,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,13/06/1997,02/06/2008,1637380,1637380001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088839,52152013604,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,13/06/1997,02/06/2008,1637380,1637380001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088838,52152013602,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,13/06/1997,02/06/2008,1637380,1637380001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272495,228214996,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,01/01/1982,01/06/1993,NA,NA,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272494,228214910,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,01/01/1982,17/06/1993,1637380,1637380001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467320,53217015802,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,19/02/2015,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467297,53217015890,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,19/02/2015,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467305,53217015845,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,19/02/2015,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467317,53217015830,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,19/02/2015,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467323,53217015816,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,19/02/2015,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467304,53217015808,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,19/02/2015,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378911,33261001650,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378910,33261001640,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378909,33261001636,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378908,33261001630,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378907,33261001628,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378905,33261001624,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378902,33261001614,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378901,33261001612,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378900,33261001607,CARISOPRODOL,CARISOPRODOL,7.51E+13,Carisoprodol Tab 350 MG,TABS,OR,59111,"MUS RELX, NON-SURG, W/O ANALGESIC",350 MG,26/02/2010,,1144807,1144807001,PPP PRODUCTS,3,CENTRAL MUSCLE RELAXANTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
